Category,Subcategory,Local_Filename,Cloudinary_URL,Public_ID
MEN,Clothing/Pants,"Quần dài nam chất linen cao cấp, quần suông trơn nam phù hợp.jpg",https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004503/FASHION_DATA/MEN/Clothing/Pants/Qu%E1%BA%A7n_d%C3%A0i_nam_ch%E1%BA%A5t_linen_cao_c%E1%BA%A5p_qu%E1%BA%A7n_su%C3%B4ng_tr%C6%A1n_nam_ph%C3%B9_h%E1%BB%A3p.jpg,FASHION_DATA/MEN/Clothing/Pants/Quần_dài_nam_chất_linen_cao_cấp_quần_suông_trơn_nam_phù_hợp
MEN,Clothing/Pants,"Quần dài nam dáng suông basic, thiết kế khuy khóa trước kèm.jpg",https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004504/FASHION_DATA/MEN/Clothing/Pants/Qu%E1%BA%A7n_d%C3%A0i_nam_d%C3%A1ng_su%C3%B4ng_basic_thi%E1%BA%BFt_k%E1%BA%BF_khuy_kh%C3%B3a_tr%C6%B0%E1%BB%9Bc_k%C3%A8m.jpg,FASHION_DATA/MEN/Clothing/Pants/Quần_dài_nam_dáng_suông_basic_thiết_kế_khuy_khóa_trước_kèm
MEN,Clothing/Pants,Quần Dài Nam Lịch Lãm Wolf Zone S9808.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004506/FASHION_DATA/MEN/Clothing/Pants/Qu%E1%BA%A7n_D%C3%A0i_Nam_L%E1%BB%8Bch_L%C3%A3m_Wolf_Zone_S9808.jpg,FASHION_DATA/MEN/Clothing/Pants/Quần_Dài_Nam_Lịch_Lãm_Wolf_Zone_S9808
MEN,Clothing/Pants,"Quần dài nam thể thao DO GYM SHOP quần đen sọc đỏ, logo thêu.jpg",https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004507/FASHION_DATA/MEN/Clothing/Pants/Qu%E1%BA%A7n_d%C3%A0i_nam_th%E1%BB%83_thao_DO_GYM_SHOP_qu%E1%BA%A7n_%C4%91en_s%E1%BB%8Dc_%C4%91%E1%BB%8F_logo_th%C3%AAu.jpg,FASHION_DATA/MEN/Clothing/Pants/Quần_dài_nam_thể_thao_DO_GYM_SHOP_quần_đen_sọc_đỏ_logo_thêu
MEN,Clothing/Pants,"Quần dài nam ống gấp line, cạp chun sau kết hợp khóa khuy tr.jpg",https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004508/FASHION_DATA/MEN/Clothing/Pants/Qu%E1%BA%A7n_d%C3%A0i_nam_%E1%BB%91ng_g%E1%BA%A5p_line_c%E1%BA%A1p_chun_sau_k%E1%BA%BFt_h%E1%BB%A3p_kh%C3%B3a_khuy_tr.jpg,FASHION_DATA/MEN/Clothing/Pants/Quần_dài_nam_ống_gấp_line_cạp_chun_sau_kết_hợp_khóa_khuy_tr
MEN,Clothing/Pants,"Quần dài nam ống gấp line, cạp kết hợp chun sau và khóa khuy.jpg",https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004509/FASHION_DATA/MEN/Clothing/Pants/Qu%E1%BA%A7n_d%C3%A0i_nam_%E1%BB%91ng_g%E1%BA%A5p_line_c%E1%BA%A1p_k%E1%BA%BFt_h%E1%BB%A3p_chun_sau_v%C3%A0_kh%C3%B3a_khuy.jpg,FASHION_DATA/MEN/Clothing/Pants/Quần_dài_nam_ống_gấp_line_cạp_kết_hợp_chun_sau_và_khóa_khuy
MEN,Clothing/Pants,"Quần dài nam ống suông, cạp có dây rút khuy cài, lịch lãm, s.jpg",https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004510/FASHION_DATA/MEN/Clothing/Pants/Qu%E1%BA%A7n_d%C3%A0i_nam_%E1%BB%91ng_su%C3%B4ng_c%E1%BA%A1p_c%C3%B3_d%C3%A2y_r%C3%BAt_khuy_c%C3%A0i_l%E1%BB%8Bch_l%C3%A3m_s.jpg,FASHION_DATA/MEN/Clothing/Pants/Quần_dài_nam_ống_suông_cạp_có_dây_rút_khuy_cài_lịch_lãm_s
MEN,Clothing/Pants,Quần dài thun đen.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004512/FASHION_DATA/MEN/Clothing/Pants/Qu%E1%BA%A7n_d%C3%A0i_thun_%C4%91en.jpg,FASHION_DATA/MEN/Clothing/Pants/Quần_dài_thun_đen
MEN,Clothing/Pants,Quần dài đũi Linen suông nam form rộng phối cạp chun kèm dây.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004513/FASHION_DATA/MEN/Clothing/Pants/Qu%E1%BA%A7n_d%C3%A0i_%C4%91%C5%A9i_Linen_su%C3%B4ng_nam_form_r%E1%BB%99ng_ph%E1%BB%91i_c%E1%BA%A1p_chun_k%C3%A8m_d%C3%A2y.jpg,FASHION_DATA/MEN/Clothing/Pants/Quần_dài_đũi_Linen_suông_nam_form_rộng_phối_cạp_chun_kèm_dây
MEN,Clothing/Shirts,Áo Sơ Mi Caro Melange Nam Cotton Chống Nhăn Tự Nhiên N&M Thư.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004515/FASHION_DATA/MEN/Clothing/Shirts/%C3%81o_S%C6%A1_Mi_Caro_Melange_Nam_Cotton_Ch%E1%BB%91ng_Nh%C4%83n_T%E1%BB%B1_Nhi%C3%AAn_N_M_Th%C6%B0.jpg,FASHION_DATA/MEN/Clothing/Shirts/Áo_Sơ_Mi_Caro_Melange_Nam_Cotton_Chống_Nhăn_Tự_Nhiên_N_M_Thư
